store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,store,longitude,latitude
st_019184,Dollar Tree 2770,A121641,4033,Chicago Ave,NA,Riverside,CA,92507,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-117.34857,33.9733
st_084486,DOLLAR TREE 1261,A120223,4021,E Ashlan Ave,NA,Fresno,CA,93726,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-119.75805,36.79423
st_060576,Dollar Tree 3254,A122131,405,E PASS Rd,NA,Gulfport,MS,39507,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-89.04315,30.39436
st_064487,Dollar Tree 468,A123377,409,George Wallace Dr,NA,Gadsden,AL,35903,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-85.99561,34.00533
st_041319,Dollar Tree 1899,A120800,4040,Highland Ave,NA,Highland,CA,92346,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-117.19953,34.13586
st_046418,Dollar Tree 1083,A120069,4015,Holcomb Bridge Rd,NA,Norcross,GA,30092,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-84.25529,33.9665
st_018039,Dollar Tree 1252,A120212,40,Lake Blvd,NA,Redding,CA,96003,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.37805,40.60952
st_065326,Dollar Tree 750,A125702,4072,Lakeland Ave N,NA,Robbinsdale,MN,55422,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-93.33433,45.02921
st_019101,Dollar Tree 2244,A121125,4074,Madison St,NA,Riverside,CA,92504,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-117.41273,33.94541
st_064902,Dollar Tree 2155,A121035,4025,Manatee Ave W,NA,Bradenton,FL,34205,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-82.60118,27.49564
st_015829,Dollar Tree 1691,A120600,403,S Jefferson St,NA,Frederick,MD,21701,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-77.42896,39.40782
st_062589,Dollar Tree 3232,A122112,4000,Starlite Plz,NA,Oakland,MD,21550,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-79.39874,39.41919
st_035007,DOLLAR TREE 1898,A120799,4060,Taylorsville Rd,NA,Louisville,KY,40220,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-85.62245,38.21961
st_010550,Dollar Tree 2132,A121016,4036,Victory Blvd,NA,Portsmouth,VA,23701,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.35831,36.81031
st_016812,Dollar Tree 2123,A121009,400,W 21st St,NA,Norfolk,VA,23517,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.29011,36.86872
st_054170,Dollar Tree 1020,A120019,4008,W Hillsboro Blvd,NA,Deerfield Beach,FL,33442,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.15945,26.31767
st_060446,Dollar Tree 2476,A121356,406,W Neider Ave,NA,Coeur D Alene,ID,83815,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-116.79367,47.70721
st_018246,DOLLAR TREE 797,A125787,401,W Route 38,NA,Moorestown,NJ,8057,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-74.96334,39.94641
st_064430,Dollar Tree 1831,A120728,400,Walmart Dr,NA,Gibsonia,PA,15044,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-79.94411,40.62225
st_048165,Dollar Tree 0661,A119942,4122,52nd St,NA,Kenosha,WI,53144,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-87.85905,42.58846
st_048070,Dollar Tree 2919,A121797,410,Bel Air Blvd,NA,Mobile,AL,36606,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-88.118,30.674
st_060803,Dollar Tree 2631,A121502,4130,E 22nd St,NA,Tucson,AZ,85711,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-110.90454,32.20691
st_044258,Dollar Tree 0212,A119873,416,E Hanes Mill Rd,NA,Winston Salem,NC,27105,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.27045,36.18871
st_050234,Dollar Tree 6723,A125232,4110,E Lake Rd,NA,Sheffield Lake,OH,44054,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-82.11269,41.4896
st_065435,DOLLAR TREE 3235,A122114,416,E Main St,NA,Middletown,CT,6457,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-72.63882,41.54575
st_031129,DOLLAR TREE/DEALS 2108,A125975,415,Georgia Ave,NA,Fort Pierce,FL,34950,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.32608,27.43959
st_065030,Dollar Tree 1918,A120816,410,N Azusa Ave,NA,Covina,CA,91722,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-117.9076646,34.08850178
st_047911,Dollar Tree 2146,A121027,417,N Enola Rd,NA,Enola,PA,17025,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.92815,40.29922
st_038802,Dollar Tree 2942,A121819,417,N Pine St,NA,Ellensburg,WA,98926,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-120.54598,46.99572
st_065047,Dollar Tree 2507,A121387,4161,Oceanside Blvd Ste C,NA,Oceanside,CA,92056,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-117.28654,33.20672
st_034998,DOLLAR TREE 0168,A119866,4105,US Highway 98 N,NA,Lakeland,FL,33809,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-81.97362,28.0942
st_064300,Dollar Tree 2603,A121478,413,W 1425 N,NA,Layton,UT,84041,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-111.97549,41.0806
st_064881,Dollar Tree 286,A121736,4191,W Commercial Blvd,NA,Tamarac,FL,33319,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.20589,26.18686
st_029801,DOLLAR TREE 1303,A120264,419,W Main St,NA,Batavia,NY,14020,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-78.20485,43.00545
st_029808,DOLLAR TREE 2004,A120903,416,W Seneca Tpke,NA,Syracuse,NY,13207,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.15392,43.00224
st_016655,DOLLAR TREE 0066,A119851,4151,W Vernon Ave,NA,Kinston,NC,28504,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-77.64178,35.26332
st_035013,DOLLAR TREE 2596,A121471,4261,13th St,NA,Saint Cloud,FL,34769,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-81.31454,28.25189
st_065319,Dollar Tree 165,A120554,4210,28th St SE,NA,Kentwood,MI,49548,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-85.5633,42.9125
st_061438,Dollar Tree 386,A122635,4252,Central Ave,NA,Hot Springs,AR,71913,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-93.07083,34.45242
st_062745,DOLLAR TREE 1793,A120691,4236,Delaware Ave,NA,Tonawanda,NY,14150,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-78.8751,42.99989
st_063053,Dollar Tree 3458,A122232,4217,E Lancaster Ave,NA,Fort Worth,TX,76103,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-97.26109,32.74099
st_047906,Dollar Tree 0131,A119860,428,Eisenhower Dr,NA,Hanover,PA,17331,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.98236,39.82492
st_058844,Dollar Tree 599,A124616,4209,Franklin St,NA,Michigan City,IN,46360,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-86.894,41.67653
st_030252,DOLLAR TREE 2599,A121474,4201,Mall Dr,NA,Steubenville,OH,43952,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.67351,40.36949
st_060717,Dollar Tree 3118,A121997,420,Pantops Ctr,NA,Charlottesville,VA,22911,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-78.45783,38.03108
st_033014,DOLLAR TREE 2269,A121151,4210,S Cedar St,NA,Lansing,MI,48910,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-84.54805,42.69057
st_018644,DOLLAR TREE 1689,A120597,4267,Union Deposit Rd,NA,Harrisburg,PA,17111,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.81485,40.27895
st_060718,Dollar Tree 3190,A122070,423,US Highway 46,NA,Dover,NJ,7801,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-74.5358,40.88676
st_064431,Dollar Tree 3630,A122405,421,Valley Brook Ave,NA,Lyndhurst,NJ,7071,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-74.12447,40.81206
st_060636,DOLLAR TREE 3492,A122266,420,Walpole St,NA,Norwood,MA,2062,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-71.22069,42.18004
st_065032,Dollar Tree 2022,A120918,42245,Washington St,NA,Palm Desert,CA,92211,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-116.30399,33.74166
st_065373,Dollar Tree 2526,A121403,4350,Central Ave NE,NA,Columbia Heights,MN,55421,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-93.24754,45.04729
st_064873,Dollar Tree 2095,A120983,435,E Fm 1382,NA,Cedar Hill,TX,75104,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-96.93655,32.59164
st_060312,Dollar Tree 500,A123675,435,E Main St,NA,Cartersville,GA,30121,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-84.78688,34.16768
st_018674,DOLLAR TREE 1709,A120617,4327,Ebenezer Rd,NA,Baltimore,MD,21236,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.47645,39.3976
st_057119,Dollar Tree 6710,A125226,431,Live Oak St,NA,Marlin,TX,76661,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-96.8917,31.30634
st_031090,DOLLAR TREE 2517,A121395,4311,Plainfield Ave NE,NA,Grand Rapids,MI,49525,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-85.60738,43.04267
st_017664,DOLLAR TREE 2756,A121626,43,Plaza Pkwy,NA,Lexington,NC,27292,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-80.25639,35.78239
st_016505,Dollar Tree 95,A045207,4300,Portsmouth Blvd,NA,Chesapeake,VA,23321,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-76.41862,36.82246
st_018236,DOLLAR TREE 508,A123750,4340,S Laburnum Ave,NA,Richmond,VA,23231,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-77.35918,37.52981
st_035051,Dollar Tree 3193,A122073,4385,W Florida Ave,NA,Denver,CO,80219,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-105.04407,39.68955
st_046105,Dollar Tree 669,A125215,4366,W Pierson Rd,NA,Flint,MI,48504,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-83.76661,43.06063
st_276061,Dollar Tree 3133,A122012,4427,13th Ave S,NA,Fargo,ND,58103,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-96.86055,46.86193
st_041995,Dollar Tree 3183,A122062,4430,Dfw Tpke,NA,Dallas,TX,75211,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-96.89794,32.76584
st_048495,Dollar Tree 3690,A122467,4405,Jager,NA,Rio Rancho,NM,87144,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-106.57507,35.32622
st_049202,Dollar Tree 3769,A122545,4429,Kirkwood Hwy,NA,Wilmington,DE,19808,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-75.65172,39.72729
st_029008,Dollar Tree 2527,A121404,4411,Lemay Ferry Rd,NA,Saint Louis,MO,63129,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-90.3333,38.50065
st_060586,DOLLAR TREE 1554,A120473,440,Middlesex Rd,NA,Tyngsboro,MA,1879,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-71.43813,42.69613
st_018037,Dollar Tree 1247,A120207,4456,Ming Ave,NA,Bakersfield,CA,93309,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-119.05164,35.33971
st_041993,Dollar Tree 3158,A122035,4445,N Expressway,NA,Brownsville,TX,78520,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-97.51471,25.97034
st_038801,Dollar Tree 2879,A121757,4430,N Rancho Dr,NA,Las Vegas,NV,89130,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-115.23406,36.24143
st_038816,Dollar Tree 2484,A121364,44,S Coast Hwy,NA,Newport,OR,97365,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-124.05318,44.63609
st_065226,Dollar Tree 2969,A121846,4420,SE 82nd Ave,NA,Portland,OR,97266,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.57878,45.49057
st_045961,Dollar Tree 1231,A120193,4474,W Shaw Ave,NA,Fresno,CA,93722,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-119.87319,36.80838
st_430985,DOLLAR TREE 3409,A122208,4511 1/2,Broadway St,NA,Mount Vernon,IL,62864,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-88.95712,38.31268
st_065424,DOLLAR TREE 1401,A120342,4583,Commercial Dr,NA,New Hartford,NY,13413,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-75.31578,43.08603
st_062729,Dollar Tree 2001,A120900,4530,Eastgate Blvd,NA,Cincinnati,OH,45245,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-84.2733,39.10312
st_061701,Dollar Tree 3480,A122255,455,Entrada Dr,NA,Novato,CA,94949,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-122.54134,38.06911
st_044600,DOLLAR TREE 3064,A121942,451,High St,NA,Somersworth,NH,3878,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-70.88215,43.23166
st_065197,Dollar Tree 3459,A122233,454,Highway 90,NA,Waveland,MS,39576,Combination Grocery/Other,2,Small retail,4,Dollar Tree,-89.38384,30.3043
